,Filings,URLs,Filing Date
202,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000014/0000886206-12-000014-index.htm,2012-03-20
203,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000012/0000886206-12-000012-index.htm,2012-03-15
204,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000010/0000886206-12-000010-index.htm,2012-03-14
205,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000119312512058614/0001193125-12-058614-index.htm,2012-02-14
206,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000035420412000841/0000354204-12-000841-index.htm,2012-02-14
207,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000008/0000886206-12-000008-index.htm,2012-02-01
208,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114036112004189/0001140361-12-004189-index.htm,2012-01-30
209,10-Q/A,https://www.sec.gov/Archives/edgar/data/886206/000088620612000006/0000886206-12-000006-index.htm,2012-01-26
210,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620612000004/0000886206-12-000004-index.htm,2012-01-05
211,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000002/0000886206-12-000002-index.htm,2012-01-05
212,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620611000042/0000886206-11-000042-index.htm,2011-12-22
213,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000040/0000886206-11-000040-index.htm,2011-12-22
214,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000038/0000886206-11-000038-index.htm,2011-12-21
215,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000036/0000886206-11-000036-index.htm,2011-11-14
216,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000034/0000886206-11-000034-index.htm,2011-11-09
217,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000032/0000886206-11-000032-index.htm,2011-10-25
218,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000030/0000886206-11-000030-index.htm,2011-09-26
219,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114036111040971/0001140361-11-040971-index.htm,2011-08-10
220,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312511200733/0001193125-11-200733-index.htm,2011-07-28
221,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000028/0000886206-11-000028-index.htm,2011-07-28
222,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000026/0000886206-11-000026-index.htm,2011-07-21
223,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620611000024/0000886206-11-000024-index.htm,2011-07-07
224,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000022/0000886206-11-000022-index.htm,2011-06-29
225,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000020/0000886206-11-000020-index.htm,2011-06-24
226,144/A,https://www.sec.gov/Archives/edgar/data/886206/000114036111030501/0001140361-11-030501-index.htm,2011-05-31
227,144,https://www.sec.gov/Archives/edgar/data/886206/000114036111029589/0001140361-11-029589-index.htm,2011-05-24
228,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620611000018/0000886206-11-000018-index.htm,2011-04-07
229,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000017/0000886206-11-000017-index.htm,2011-04-07
230,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000014/0000886206-11-000014-index.htm,2011-03-31
231,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000012/0000886206-11-000012-index.htm,2011-03-24
232,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000010/0000886206-11-000010-index.htm,2011-03-17
233,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620611000008/0000886206-11-000008-index.htm,2011-03-11
